Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
2,24245,2,0.00624,0.09,24.3
2,24262,5,0.0156,0.14,23
2,24263,5,0.0156,0.14,23
2,24265,25,0.0779,0.32,20.7
2,24282,2,0.00624,0.09,24.3
2,24284,2,0.00624,0.09,24.3
2,24286,2,0.00624,0.09,24.3
2,24296,2,0.00624,0.09,24.3
2,24357,3,0.00935,0.11,23.7
2,24358,2,0.00624,0.09,24.3
2,24381,8,0.0249,0.18,22.3
2,24382,7,0.0218,0.17,22.5
2,24383,7,0.0218,0.17,22.5
2,24385,2,0.00624,0.09,24.3
2,24388,5,0.0156,0.14,23
2,24426,2,0.00624,0.09,24.3
2,24430,2,0.00624,0.09,24.3
2,24470,2,0.00624,0.09,24.3
2,24485,2,0.00624,0.09,24.3
2,24486,1270,3.96E+//0-,2.25,15
2,24500,2,0.00624,0.09,24.3
2,24526,2,0.00624,0.09,24.3
2,24527,2,0.00624,0.09,24.3
2,24530,2,0.00624,0.09,24.3
2,24533,2,0.00624,0.09,24.3
2,24545,2,0.00624,0.09,24.3
2,24554,2,0.00624,0.09,24.3
2,24561,3,0.00935,0.11,23.7
2,24567,251,0.783,1,17.3
2,24589,3,0.00935,0.11,23.7
2,24603,2,0.00624,0.09,24.3
2,24624,2,0.00624,0.09,24.3
2,24625,2,0.00624,0.09,24.3
2,24626,18,0.0561,0.27,21.1
2,24644,2,0.00624,0.09,24.3
2,24645,5,0.0156,0.14,23
2,24649,2,0.00624,0.09,24.3
2,24660,3,0.00935,0.11,23.7
2,24679,4,0.0125,0.13,23.3
2,24683,2,0.00624,0.09,24.3
2,24706,974,3.04E+//0-,1.97,15.4
2,24710,2,0.00624,0.09,24.3
2,24718,2,0.00624,0.09,24.3
2,24737,2,0.00624,0.09,24.3
2,24741,14,0.0437,0.24,21.5
2,24742,27,0.0842,0.33,20.5
2,24746,2,0.00624,0.09,24.3
2,24747,2,0.00624,0.09,24.3
2,24750,2,0.00624,0.09,24.3
2,24757,2,0.00624,0.09,24.3
2,24758,2,0.00624,0.09,24.3
2,24787,2,0.00624,0.09,24.3
2,24788,3,0.00935,0.11,23.7
2,24800,2,0.00624,0.09,24.3
2,24815,8,0.0249,0.18,22.3
